8	DELIVERY
9	DELIVERY
10	DELIVERY
11	DELIVERY
12	DELIVERY
13	RETURN_REFUND
14	RETURN_REFUND
15	RETURN_REFUND
16	RETURN_REFUND
17	RETURN_REFUND
18	PAYMENT
19	PAYMENT
20	PAYMENT
21	PAYMENT
22	PAYMENT
23	PRODUCT
24	PRODUCT
25	PRODUCT
26	PRODUCT
27	PRODUCT
28	ACCOUNT
29	ACCOUNT
30	ACCOUNT
31	ACCOUNT
32	ACCOUNT
33	ORDER_CHANGE
34	DELIVERY
35	DELIVERY
36	ORDER_CHANGE
37	ORDER_CHANGE
38	PROMOTION
39	PROMOTION
40	PROMOTION
41	PROMOTION
42	PROMOTION
43	SERVICE_USAGE
44	SERVICE_USAGE
45	SERVICE_USAGE
46	SERVICE_USAGE
47	SERVICE_USAGE
48	COMPLAINT
49	COMPLAINT
50	COMPLAINT
51	COMPLAINT
52	COMPLAINT
53	ETC
54	ETC
55	ETC
56	ETC
57	ETC
