58	DELIVERY
59	DELIVERY
60	DELIVERY
61	DELIVERY
62	DELIVERY
63	RETURN_REFUND
64	RETURN_REFUND
65	RETURN_REFUND
66	RETURN_REFUND
67	RETURN_REFUND
68	PAYMENT
69	PAYMENT
70	PAYMENT
71	PAYMENT
72	PAYMENT
73	PRODUCT
74	PRODUCT
75	PRODUCT
76	PRODUCT
77	PRODUCT
78	ACCOUNT
79	ACCOUNT
80	ACCOUNT
81	ACCOUNT
82	ACCOUNT
83	ORDER_CHANGE
84	DELIVERY
85	DELIVERY
86	ORDER_CHANGE
87	ORDER_CHANGE
88	PROMOTION
89	PROMOTION
90	PROMOTION
91	PROMOTION
92	PROMOTION
93	SERVICE_USAGE
94	SERVICE_USAGE
95	SERVICE_USAGE
96	SERVICE_USAGE
97	SERVICE_USAGE
98	COMPLAINT
99	COMPLAINT
100	COMPLAINT
101	COMPLAINT
102	COMPLAINT
103	ETC
104	ETC
105	ETC
106	ETC
107	ETC
